id,organization,rating_category,rating_content_descriptions
6157,1,6,"[4, 10, 27, 21, 18]"
6168,1,5,[31]
6181,1,3,
6194,2,10,
6195,2,10,
6204,1,6,
6212,1,6,"[31, 46]"
6216,1,3,
6217,2,8,
6222,1,5,"[3, 29]"
6225,1,5,"[29, 3]"
6227,1,5,[29]
6229,1,5,[29]
6237,1,5,[29]
6240,1,5,[31]
6241,1,5,[31]
6242,1,5,[31]
6246,1,5,[31]
6255,1,5,"[32, 46]"
6260,2,12,[50]
6262,2,10,
6270,1,4,"[24, 5, 7, 12]"
6272,1,5,"[9, 32, 26, 24]"
6274,1,3,[48]
6275,1,3,
6276,2,8,
6279,1,6,"[29, 4]"
6280,1,4,"[9, 24]"
6282,1,5,[29]
6293,1,6,"[4, 21, 10, 18, 14]"
6295,1,3,[43]
6301,1,5,"[6, 24, 32]"
6307,1,5,[29]
6310,1,5,[29]
6314,1,5,[9]
6318,1,5,"[26, 33, 32]"
6321,1,6,"[4, 29]"
6328,1,5,"[29, 3]"
6334,1,5,"[3, 29, 26]"
6338,1,6,"[31, 46]"
6339,2,8,
6340,1,3,
6342,1,6,"[29, 4, 32]"
6349,1,5,"[29, 4]"
6351,1,6,"[4, 29]"
6355,1,5,"[4, 29]"
6359,1,6,"[10, 4]"
6371,1,5,"[31, 2]"
6376,1,5,"[29, 3, 11]"
6391,1,5,"[2, 31]"
6393,1,5,"[31, 2]"
6403,1,5,"[3, 29]"
6410,1,5,"[29, 3]"
6412,1,5,[29]
6417,1,5,"[29, 3]"
6431,1,5,"[29, 3, 11]"
6434,1,5,"[33, 8]"
6450,1,3,
6451,2,11,"[58, 50, 55]"
6454,2,10,
6456,2,12,"[50, 58]"
6457,1,6,"[29, 4]"
6459,1,6,"[29, 4]"
6460,2,12,[50]
6462,1,5,"[3, 29]"
6465,2,11,
6471,1,5,[29]
6474,1,6,"[3, 29]"
6493,1,5,"[11, 3, 24, 29]"
6494,2,12,[50]
6496,2,10,"[50, 55, 53]"
6500,2,12,[50]
6513,2,11,"[50, 55]"
6523,1,4,[9]
6524,2,10,"[50, 55]"
6529,2,9,[50]
6531,1,3,
6534,1,4,"[32, 9, 24]"
6535,2,9,[50]
6536,1,6,"[11, 15, 29, 3]"
6538,1,3,
6548,2,8,
6551,2,11,
6560,1,3,
6586,2,10,"[51, 55, 50]"
6595,1,5,"[32, 36, 29]"
6600,2,9,"[50, 58]"
6602,2,8,
6610,2,9,"[53, 50]"
6619,1,5,"[46, 31]"
6625,1,3,"[6, 33]"
6628,2,11,"[50, 55]"
6630,1,3,
6631,2,11,"[55, 50, 51]"
6679,2,10,
6684,1,4,"[9, 7]"
6697,1,3,"[20, 6, 1]"
6702,1,5,"[24, 47, 32, 20, 1]"
6704,1,6,"[4, 29]"
6715,2,8,
6716,2,8,
6717,2,8,
6728,2,10,
6731,1,5,"[29, 3]"
6732,2,10,[50]
6733,1,5,"[33, 11]"
6736,1,3,[47]
6739,2,8,
6743,1,4,"[7, 9]"
6744,2,8,
6757,1,6,"[3, 29]"
6767,1,3,[29]
6771,1,3,[6]
6785,1,5,"[4, 29]"
6786,1,5,"[29, 4]"
6787,2,10,[50]
6810,1,5,"[45, 21, 31]"
6819,1,5,"[3, 29]"
6820,1,5,[31]
6826,1,3,
6827,2,8,
6833,2,8,
6834,2,10,
6839,1,3,
6840,2,8,
6841,1,3,[33]
6842,2,9,[50]
6845,1,3,
6846,2,8,
6847,1,4,"[47, 11]"
6856,2,8,
6857,1,3,
6861,1,3,[31]
6866,2,8,
6867,1,5,"[29, 6]"
6871,1,6,"[4, 10, 21]"
6884,1,5,"[32, 2]"
6891,1,5,"[3, 26, 24, 29]"
6893,1,5,"[31, 46]"
6901,1,6,"[4, 29]"
6905,2,8,
6907,1,5,"[43, 6]"
6909,1,5,"[33, 24, 32]"
6910,1,6,"[31, 46, 24]"
6945,1,5,"[3, 29]"
6959,1,5,[12]
6968,1,3,
6971,1,3,[29]
6972,2,8,
6975,1,6,"[2, 31]"
6991,1,5,"[29, 4]"
6995,1,6,"[3, 18, 21, 14, 10]"
6996,2,12,
7003,2,10,
7004,1,5,
7005,2,10,
7006,1,4,
7007,2,9,
7013,2,9,"[50, 58]"
7015,1,3,
7019,2,10,[50]
7022,1,4,"[32, 9]"
7023,2,10,"[55, 58]"
7027,1,6,"[31, 46]"
7028,1,5,"[31, 2]"
7033,2,8,
7036,1,5,"[40, 31]"
7041,1,3,
7045,1,3,
7046,2,8,[58]
7048,2,10,
7049,1,5,"[18, 29, 3]"
7059,1,6,"[11, 29, 3]"
7061,1,5,"[3, 29]"
7071,1,5,"[24, 9, 32]"
7079,1,6,"[10, 4, 21, 18]"
7093,1,6,"[4, 29, 11]"
7096,1,6,"[29, 4, 15, 21]"
7100,1,6,"[31, 46]"
7101,1,5,[31]
7102,1,6,"[39, 31]"
7105,1,5,[31]
7108,2,10,"[55, 50]"
7109,1,6,"[3, 44, 29]"
